"listener","run","combine","chunks","Freq1","Freq2","Freq3","Freq4","Freq5","rms"
"L01","1","add","1","0.029153189","0.02358909","0.016343926","0.0121198647","0.01033933","0.0395047"
"L01","1","add","2","0.029426646","0.022708202","0.01548135","0.011854731","0.010097537","0.0389768"
"L01","1","add","3","0.02713139","0.02120782","0.01465735","0.011463477","0.009654805","0.037059"
"L01","1","add","4","0.02761847","0.021305417","0.01488608","0.011569124","0.009909478","0.037226"
"L01","1","add","5","0.027347982","0.020866589","0.014275662","0.01154707","0.009621267","0.0368304"
"L01","1","add","6","0.031175099","0.024339328","0.017264929","0.013051192","0.010670803","0.0412967"
"L01","1","add","7","0.02812179","0.022176841","0.014806899","0.0114912641","0.009990647","0.0378472"
"L01","1","add","8","0.027716342","0.021707381","0.0145623374","0.011687226","0.010046443","0.0373079"
"L01","1","add","9","0.029262593","0.022224044","0.015649654","0.012013665","0.010174292","0.0388225"
"L01","1","add","10","0.02884747","0.021780086","0.014923701","0.011545103","0.010170933","0.0381421"
"L01","1","add","11","0.02919581","0.022174803","0.014980702","0.011555967","0.010023108","0.0384331"
"L01","1","add","12","0.02883591","0.021998878","0.015608752","0.012096836","0.009771726","0.0384597"
"L01","1","add","13","0.02885859","0.02093125","0.014699766","0.011362082","0.009758413","0.037577"
"L01","1","add","14","0.028931728","0.020652383","0.014279406","0.011072524","0.009602517","0.0373556"
"L01","1","add","15","0.028932119","0.02269004","0.015500689","0.012375247","0.010175799","0.0386724"
"L02","1","add","1","0.04928991","0.03968881","0.026463887","0.017952509","0.013042888","0.0603074"
"L02","1","add","2","0.0625042","0.05285813","0.03691791","0.02388251","0.017321311","0.0793782"
"L02","1","add","3","0.0623379","0.05424543","0.037524927","0.024688072","0.016797362","0.0796349"
"L02","1","add","4","0.0402429","0.03176985","0.020532728","0.014296883","0.011352498","0.0498959"
"L02","1","add","5","0.038588051","0.02950903","0.0189643582","0.013276235","0.010898481","0.0472948"
"L02","1","add","6","0.05449664","0.046388787","0.03370076","0.022551322","0.01598862","0.070523"
"L02","1","add","7","0.07868026","0.07147309","0.04877361","0.032400839","0.021657995","0.1028589"
"L02","1","add","8","0.06793257","0.06214145","0.04409605","0.025651288","0.018784599","0.0889284"
"L02","1","add","9","0.045579163","0.03910701","0.024966484","0.015847702","0.012165817","0.0572894"
"L02","1","add","10","0.041617433","0.032447531","0.020813035","0.0140481727","0.011256334","0.0505722"
"L02","1","add","11","0.04384594","0.035003256","0.022087602","0.015068992","0.011386947","0.053417"
"L02","1","add","12","0.040012961","0.031426918","0.020097348","0.014021073","0.010989213","0.0491085"
"L02","1","add","13","0.047793022","0.03985999","0.02685042","0.017360472","0.013126631","0.0600112"
"L02","1","add","14","0.04247331","0.03524933","0.020816","0.0145655935","0.011374996","0.0524667"
"L02","1","add","15","0.05325677","0.04639385","0.030307481","0.019662321","0.013961179","0.0672694"
"L03","1","add","1","0.04375143","0.03140182","0.021191558","0.015540874","0.012264921","0.0539588"
"L03","1","add","2","0.05591832","0.041295882","0.025659773","0.018455965","0.0133472806","0.0663956"
"L03","1","add","3","0.037558286","0.030310689","0.020189087","0.014459243","0.010907883","0.0488999"
"L03","1","add","4","0.037033779","0.029135097","0.020698477","0.014288962","0.011522712","0.0473437"
"L03","1","add","5","0.025693147","0.018614148","0.01356738","0.010988552","0.009455688","0.0348655"
"L03","1","add","6","0.02590756","0.018595047","0.012552923","0.010713986","0.009183215","0.0345545"
"L03","1","add","7","0.021939234","0.014896636","0.011521767","0.009900899","0.0089963619","0.0311466"
"L03","1","add","8","0.021443591","0.014831505","0.011408543","0.009392883","0.008896389","0.0306714"
"L03","1","add","9","0.024308907","0.01707123","0.012430521","0.010276879","0.009131596","0.033046"
"L03","1","add","10","0.02420758","0.016503408","0.012125038","0.010329651","0.009270287","0.0328997"
"L03","1","add","11","0.022833997","0.015942396","0.011578551","0.00992751","0.009234224","0.0318395"
"L03","1","add","12","0.02472002","0.016854971","0.012140577","0.009895357","0.009076098","0.0330796"
"L03","1","add","13","0.028057468","0.020062888","0.014936845","0.011770588","0.010189805","0.0373267"
"L03","1","add","14","0.04037503","0.031313632","0.0203279","0.014552847","0.01169417","0.0501884"
"L03","1","add","15","0.02735621","0.018098874","0.012823422","0.010411029","0.009406578","0.0350006"
"L04","1","add","1","0.039336393","0.034583814","0.023317862","0.016596143","0.012710157","0.0521397"
"L04","1","add","2","0.03734225","0.03204886","0.02248578","0.016089565","0.012072179","0.0495587"
"L04","1","add","3","0.035257582","0.03131753","0.02240968","0.015539236","0.012495828","0.0483185"
"L04","1","add","4","0.03932991","0.03328833","0.022218802","0.016427769","0.012670815","0.0510474"
"L04","1","add","5","0.03677986","0.03082798","0.019169164","0.014381988","0.011320036","0.0471371"
"L04","1","add","6","0.03657585","0.029431097","0.018832609","0.013964518","0.010854895","0.0463605"
"L04","1","add","7","0.03584453","0.028094969","0.01843865","0.013306308","0.010870529","0.045378"
"L04","1","add","8","0.03236565","0.024816956","0.016207696","0.012293826","0.010276348","0.0413196"
"L04","1","add","9","0.032439128","0.024608057","0.016574179","0.0119851984","0.010376232","0.0413533"
"L04","1","add","10","0.030282768","0.023984401","0.015151155","0.011954586","0.0100041243","0.0397229"
"L04","1","add","11","0.029061707","0.022776903","0.0146626494","0.011432975","0.009838415","0.0383822"
"L04","1","add","12","0.02935236","0.023086452","0.014470386","0.011587288","0.009759907","0.0386447"
"L04","1","add","13","0.029457658","0.021895437","0.014287212","0.011510492","0.009886991","0.038117"
"L04","1","add","14","0.029681257","0.02177725","0.014616019","0.011310475","0.009696113","0.03826"
"L04","1","add","15","0.029559857","0.021239018","0.014980958","0.011504787","0.009898658","0.0380963"
"L05","1","add","1","0.041487975","0.035475657","0.026223391","0.01845922","0.013836984","0.0550022"
"L05","1","add","2","0.04056052","0.03771546","0.025889679","0.018382833","0.01366212","0.0551941"
"L05","1","add","3","0.039451303","0.03591938","0.02530298","0.018068445","0.013322232","0.0537714"
"L05","1","add","4","0.039297958","0.033167532","0.023651643","0.01663864","0.012859968","0.0518365"
"L05","1","add","5","0.034712467","0.03035052","0.02288438","0.016138548","0.0121788274","0.0480634"
"L05","1","add","6","0.04325843","0.035691308","0.02557824","0.018185269","0.013203805","0.0557454"
"L05","1","add","7","0.03860852","0.032289496","0.024196647","0.016791481","0.012629311","0.0513124"
"L05","1","add","8","0.03856281","0.03411242","0.024459752","0.01743163","0.013083649","0.0522594"
"L05","1","add","9","0.03787963","0.03398148","0.0239159","0.017406617","0.013051268","0.0518312"
"L05","1","add","10","0.06441692","0.050993533","0.03827689","0.0254725","0.019220627","0.0797149"
"L05","1","add","11","0.058769936","0.05167394","0.039598351","0.027882796","0.019474611","0.0783563"
"L05","1","add","12","0.036358471","0.03358004","0.022941529","0.016913849","0.012506782","0.0500066"
"L05","1","add","13","0.04243015","0.03723796","0.02640241","0.01852392","0.014099654","0.0563337"
"L05","1","add","14","0.03738365","0.035164535","0.02551883","0.016781645","0.012988087","0.0523979"
"L05","1","add","15","0.036284477","0.03588823","0.025358828","0.017086119","0.013274955","0.0520489"
"L06","1","add","1","0.028164598","0.022939148","0.016035894","0.012535119","0.009974162","0.0386105"
"L06","1","add","2","0.024634291","0.020392841","0.014513909","0.0114747958","0.009650033","0.0352314"
"L06","1","add","3","0.025748702","0.020113925","0.014367518","0.01108553","0.0097478","0.0355151"
"L06","1","add","4","0.0315252","0.024048184","0.015365124","0.011715303","0.009731457","0.0403374"
"L06","1","add","5","0.029357138","0.022632973","0.01445575","0.011130605","0.009745169","0.0382339"
"L06","1","add","6","0.021007296","0.01728063","0.012368647","0.0102202304","0.009197553","0.0317165"
"L06","1","add","7","0.020920749","0.017197443","0.012603794","0.010559542","0.009395227","0.0316666"
"L06","1","add","8","0.020718829","0.016218774","0.012413742","0.010438278","0.009055633","0.0310522"
"L06","1","add","9","0.018289057","0.01560294","0.011830645","0.010100776","0.009312734","0.0297165"
"L06","1","add","10","0.01815463","0.015440891","0.011934216","0.010100169","0.009010575","0.0297389"
"L06","1","add","11","0.018403647","0.015377987","0.011688409","0.0100939954","0.009120296","0.0297971"
"L06","1","add","12","0.019983077","0.016095861","0.012455265","0.010421943","0.0092812362","0.0309057"
"L06","1","add","13","0.025254579","0.018452634","0.0127877797","0.010630572","0.0091185348","0.0342246"
"L06","1","add","14","0.032119039","0.0202569345","0.013776317","0.011062463","0.009780416","0.0390138"
"L06","1","add","15","0.026921789","0.017562569","0.012941652","0.010375735","0.009533324","0.0352311"
"L07","1","add","1","0.06888126","0.056415216","0.04025128","0.0268304","0.018669958","0.0844793"
"L07","1","add","2","0.0634766","0.054618949","0.038744742","0.024710931","0.01770723","0.0798377"
"L07","1","add","3","0.06467468","0.053748542","0.035547065","0.02373141","0.01656571","0.078979"
"L07","1","add","4","0.06310757","0.05441135","0.03580424","0.023261367","0.016387729","0.078409"
"L07","1","add","5","0.06678137","0.055219468","0.03665136","0.02454734","0.016845405","0.0810596"
"L07","1","add","6","0.06795148","0.05484265","0.03645944","0.024363066","0.017141383","0.0812897"
"L07","1","add","7","0.06627198","0.054331039","0.03746469","0.024850734","0.017025773","0.0811558"
"L07","1","add","8","0.06960765","0.05647804","0.0366967","0.023893333","0.017014499","0.0829115"
"L07","1","add","9","0.06583537","0.054484017","0.03630288","0.024633163","0.017159114","0.0805552"
"L07","1","add","10","0.06827289","0.05650498","0.038345327","0.024615688","0.017707919","0.0832778"
"L07","1","add","11","0.06852532","0.055364639","0.03722114","0.02482707","0.017059804","0.0824787"
"L07","1","add","12","0.06772366","0.054677071","0.0359815","0.023487758","0.016705972","0.0810444"
"L07","1","add","13","0.072114","0.056948096","0.03706733","0.023949988","0.016927837","0.0843917"
"L07","1","add","14","0.06948968","0.05711582","0.0367393","0.023191937","0.0167366","0.0828853"
"L07","1","add","15","0.07216535","0.0589354","0.03724997","0.02431757","0.016917516","0.0854394"
"L08","1","add","1","0.06478406","0.05392325","0.03454988","0.021714623","0.015323994","0.0782538"
"L08","1","add","2","0.05170103","0.038308249","0.02592036","0.016890825","0.012347178","0.0601936"
"L08","1","add","3","0.037430981","0.027036993","0.017484027","0.012888881","0.010546639","0.0452402"
"L08","1","add","4","0.03565434","0.02614829","0.017632682","0.01237639","0.01052653","0.0441148"
"L08","1","add","5","0.033434486","0.02449616","0.01688247","0.012440296","0.010154492","0.0418886"
"L08","1","add","6","0.025692698","0.018850837","0.013219876","0.010174808","0.009645976","0.0346262"
"L08","1","add","7","0.02445622","0.018522432","0.0131916519","0.010510932","0.009523321","0.0341172"
"L08","1","add","8","0.020639404","0.01529105","0.011113225","0.0096048192","0.009161784","0.0304819"
"L08","1","add","9","0.016440577","0.012730534","0.010536321","0.00948545","0.008789874","0.027613"
"L08","1","add","10","0.014839143","0.012062358","0.009852076","0.009303509","0.009120562","0.0266772"
"L08","1","add","11","0.014728953","0.011742711","0.010044495","0.009254217","0.008846337","0.026638"
"L08","1","add","12","0.014293801","0.012024242","0.010309075","0.0093028608","0.008870646","0.0266439"
"L08","1","add","13","0.014885732","0.011799297","0.010243056","0.009184874","0.008822621","0.0267926"
"L08","1","add","14","0.01406674","0.011735852","0.010223985","0.00937265","0.008775997","0.0264357"
"L08","1","add","15","0.014032263","0.0116642","0.00997956","0.0090166","0.0088092499","0.0263268"
"L09","1","add","1","0.13632202","0.0891039","0.0594163","0.037992616","0.02776385","0.1736197"
"L09","1","add","2","0.07811143","0.05969086","0.03836542","0.024733364","0.017545288","0.0922639"
