"listener","run","combine","chunks","Freq1","Freq2","Freq3","Freq4","Freq5","rms"
"L01","1","add","1","0.184863","0.146207","0.0789889","0.02418272","0.012398155","0.179979"
"L01","1","add","2","0.184656","0.149408","0.0891827","0.02414391","0.008516401","0.183497"
"L01","1","add","3","0.203215","0.18023","0.0854398","0.02766365","0.007626485","0.20502"
"L01","1","add","4","0.199521","0.149568","0.0860687","0.02436977","0.014618299","0.190228"
"L01","1","add","5","0.200045","0.1320549","0.0705749","0.02510692","0.0143595905","0.180927"
"L01","1","add","6","0.212754","0.145946","0.0827431","0.02732291","0.011891396","0.195721"
"L01","1","add","7","0.197259","0.139521","0.0819273","0.02935105","0.008014615","0.184678"
"L01","1","add","8","0.177049","0.145596","0.0895182","0.02326313","0.008693515","0.177884"
"L01","1","add","9","0.177539","0.138614","0.0652395","0.01801327","0.014196291","0.170198"
"L01","1","add","10","0.169637","0.16248","0.0826512","0.0306079","0.007340779","0.180594"
"L01","1","add","11","0.197789","0.144558","0.0724679","0.023592","0.007257959","0.184287"
"L01","1","add","12","0.200271","0.1263858","0.0862987","0.013573582","0.007787881","0.181202"
"L01","1","add","13","0.224027","0.15846","0.069039","0.0327533","0.009930059","0.20387"
"L01","1","add","14","0.20318","0.146409","0.0743599","0.02982986","0.009969456","0.188712"
"L01","1","add","15","0.193246","0.1375762","0.0868201","0.02842943","0.009292567","0.183355"
"L02","1","add","1","0.1043526","0.03027503","0.03785087","0.02249057","0.01693088","0.0935373"
"L02","1","add","2","0.1340226","0.059065278","0.04560663","0.029382319","0.013264373","0.1197107"
"L02","1","add","3","0.1712807","0.06691224","0.04164771","0.02468689","0.0124563","0.1422955"
"L02","1","add","4","0.1783143","0.06051214","0.03430328","0.020566615","0.008712077","0.1411704"
"L02","1","add","5","0.1507699","0.05085477","0.04650657","0.01584782","0.010718832","0.1239175"
"L02","1","add","6","0.1497001","0.1007256","0.043632955","0.02986028","0.021765216","0.1407657"
"L02","1","add","7","0.07417317","0.119995767","0.044375073","0.03266196","0.021450546","0.121711"
"L02","1","add","8","0.07862157","0.06548898","0.0443704","0.020937587","0.01595031","0.0940924"
"L02","1","add","9","0.1558528","0.04302297","0.02906367","0.03049125","0.01436866","0.1250516"
"L02","1","add","10","0.191885","0.03469298","0.03654743","0.03056009","0.00830199","0.1475697"
"L02","1","add","11","0.1535055","0.04985103","0.04001222","0.0278777","0.011297559","0.125608"
"L02","1","add","12","0.1640778","0.03642436","0.02440177","0.02317684","0.010384671","0.1269985"
"L02","1","add","13","0.1841232","0.02837848","0.019706331","0.024882745","0.011250019","0.1394645"
"L02","1","add","14","0.0923721","0.03849015","0.02916114","0.015131396","0.008578279","0.0829086"
"L02","1","add","15","0.1417821","0.03374786","0.02845478","0.0305368","0.0206426","0.1159896"
"L03","1","add","1","0.233779","0.0275368","0.02577281","0.0367354","0.02236359","0.173492"
"L03","1","add","2","0.215862","0.03405978","0.034066152","0.0387688","0.02658983","0.164712"
"L03","1","add","3","0.212451","0.04323131","0.01937861","0.03157454","0.01627306","0.158981"
"L03","1","add","4","0.207666","0.03978785","0.030668463","0.0382328","0.011499785","0.157614"
"L03","1","add","5","0.21693","0.03880195","0.021624542","0.0376716","0.01639509","0.161688"
"L03","1","add","6","0.228047","0.0290578","0.0382587","0.0333311","0.02038835","0.170326"
"L03","1","add","7","0.206738","0.01989795","0.0373247","0.0309069","0.01653583","0.154519"
"L03","1","add","8","0.212699","0.01876489","0.0332554","0.0319621","0.0264801","0.158758"
"L03","1","add","9","0.194768","0.02446751","0.02986287","0.0386112","0.01877943","0.1476"
"L03","1","add","10","0.177575","0.022855016","0.0336169","0.021769613","0.02186907","0.133714"
"L03","1","add","11","0.229919","0.02387109","0.0364933","0.0335254","0.02010191","0.170462"
"L03","1","add","12","0.200254","0.016533422","0.02534754","0.02411093","0.01384468","0.147539"
"L03","1","add","13","0.199449","0.024662907","0.0392039","0.0333135","0.01862151","0.149901"
"L03","1","add","14","0.229143","0.03498337","0.03928856","0.03467707","0.02606028","0.172455"
"L03","1","add","15","0.203148","0.016552465","0.02690716","0.0295453","0.010795383","0.149898"
"L04","1","add","1","0.247092","0.1431759","0.0701873","0.01744244","0.02090369","0.212579"
"L04","1","add","2","0.172918","0.1086063","0.04460959","0.012038126","0.02013549","0.152974"
"L04","1","add","3","0.227606","0.100929","0.05009","0.012245669","0.014459473","0.183529"
"L04","1","add","4","0.189926","0.1264976","0.059397","0.022313","0.02368679","0.171541"
"L04","1","add","5","0.167131","0.1278667","0.0608209","0.01078217","0.013225266","0.158648"
"L04","1","add","6","0.1628999","0.0905982","0.0464048","0.012315994","0.008810197","0.140208"
"L04","1","add","7","0.242259","0.149359","0.0701263","0.014145485","0.011886046","0.210035"
"L04","1","add","8","0.203783","0.1151092","0.0370499","0.01138507","0.009276108","0.170486"
"L04","1","add","9","0.2129","0.1246503","0.03452155","0.012764345","0.017890776","0.180149"
"L04","1","add","10","0.229529","0.1258692","0.05072","0.01045164","0.009735192","0.191722"
"L04","1","add","11","0.199912","0.1079093","0.0395514","0.011115606","0.014225966","0.166185"
"L04","1","add","12","0.203955","0.1210229","0.0462757","0.013228336","0.011220439","0.174004"
"L04","1","add","13","0.202086","0.102343","0.0449463","0.009628621","0.008253246","0.166488"
"L04","1","add","14","0.181627","0.1300525","0.054296","0.008768284","0.011574663","0.165757"
