"listener","run","combine","chunks","Freq1","Freq2","Freq3","Freq4","Freq5","rms"
"L01","1","sub","1","0.030792392","0.023856524","0.016193146","0.012721554","0.010224771","0.0401841"
"L01","1","sub","2","0.02940433","0.022405417","0.015523888","0.011611845","0.009734396","0.0386652"
"L01","1","sub","3","0.02671508","0.02083817","0.014731357","0.011694223","0.009927256","0.0366717"
"L01","1","sub","4","0.027220931","0.02179473","0.015215204","0.011701221","0.009568554","0.0372418"
"L01","1","sub","5","0.026760542","0.021282604","0.014182401","0.011292683","0.010035923","0.036748"
"L01","1","sub","6","0.03152352","0.024885533","0.01710776","0.012703187","0.010438671","0.0414724"
"L01","1","sub","7","0.028706892","0.022280658","0.014872514","0.01129533","0.009667215","0.0379806"
"L01","1","sub","8","0.027573957","0.021605239","0.014792832","0.01108722","0.010196354","0.0372055"
"L01","1","sub","9","0.028852635","0.022540728","0.015668757","0.011592168","0.010216675","0.038549"
"L01","1","sub","10","0.02933597","0.021901577","0.015291054","0.011654033","0.009659509","0.0382866"
"L01","1","sub","11","0.02927242","0.02210357","0.014658426","0.011578257","0.010058345","0.0382643"
"L01","1","sub","12","0.02868372","0.022244734","0.015416727","0.011627789","0.009824677","0.0384088"
"L01","1","sub","13","0.028358046","0.020896416","0.014433498","0.01148222","0.010001688","0.037387"
"L01","1","sub","14","0.02796477","0.0211037405","0.01435027","0.011045334","0.009825861","0.0370969"
"L01","1","sub","15","0.02929107","0.02295819","0.015757804","0.012058034","0.010036413","0.0389555"
"L02","1","sub","1","0.049642746","0.039206482","0.026234624","0.017602738","0.012971124","0.0603237"
"L02","1","sub","2","0.0614836","0.05519704","0.037410032","0.024639625","0.016907342","0.0792271"
"L02","1","sub","3","0.061534757","0.05361108","0.036275413","0.023726672","0.01722808","0.0786365"
"L02","1","sub","4","0.0404538","0.032232214","0.020802536","0.01406514","0.01082614","0.0498601"
"L02","1","sub","5","0.037938703","0.02931025","0.019405544","0.013544788","0.011016199","0.0472938"
"L02","1","sub","6","0.05582442","0.04739764","0.033827998","0.02204523","0.016222548","0.0713198"
"L02","1","sub","7","0.07939767","0.07032249","0.04873128","0.032079763","0.021970261","0.1019301"
"L02","1","sub","8","0.0689257","0.06307554","0.04117888","0.027302186","0.018183449","0.0877444"
"L02","1","sub","9","0.047195432","0.0395421","0.02537813","0.016092466","0.011991507","0.0581355"
"L02","1","sub","10","0.04198781","0.032548896","0.02059728","0.014302238","0.011149107","0.0510314"
"L02","1","sub","11","0.042346062","0.033918082","0.021943987","0.015127659","0.011542625","0.0525436"
"L02","1","sub","12","0.039829368","0.03104288","0.019537164","0.013773247","0.011227233","0.0487914"
"L02","1","sub","13","0.04771156","0.041063651","0.02610969","0.01762207","0.013151681","0.0601967"
"L02","1","sub","14","0.04198093","0.033686295","0.021792257","0.014365102","0.01117873","0.0519315"
