"listener","run","combine","chunks","Freq1","Freq2","Freq3","Freq4","Freq5","rms"
"L01","1","add","1","0.05470089","0.0608931","0.03651841","0.01114227","0.011064125","0.0732683"
"L01","1","add","2","0.0924419","0.03055423","0.02678551","0.008286937","0.013037","0.0809641"
"L01","1","add","3","0.094813","0.03396027","0.0541864","0.013685123","0.012810417","0.0888467"
"L01","1","add","4","0.0872012","0.02407318","0.03674276","0.00896732","0.017608361","0.0762203"
"L01","1","add","5","0.0990297","0.0599553","0.0434383","0.013816429","0.008466094","0.0952466"
"L01","1","add","6","0.0736438","0.026623031","0.0522176","0.017158908","0.008406311","0.0759222"
"L01","1","add","7","0.0837748","0.02625878","0.0339642","0.012012143","0.010656411","0.0764611"
"L01","1","add","8","0.0854557","0.02396725","0.0593679","0.01690591","0.01250944","0.0839677"
"L01","1","add","9","0.0912446","0.04873182","0.0435618","0.01175238","0.01428961","0.0866063"
"L01","1","add","10","0.03959488","0.0562321","0.04825","0.011085708","0.010948231","0.0695935"
"L01","1","add","11","0.0670229","0.04086676","0.02204214","0.008316348","0.02072519","0.0671374"
"L01","1","add","12","0.05044207","0.04487818","0.0542098","0.009126729","0.010319862","0.0712948"
"L01","1","add","13","0.0674465","0.0448669","0.0395568","0.01038419","0.013969691","0.0732357"
"L01","1","add","14","0.0869405","0.0462996","0.03218255","0.008079248","0.011568936","0.0810437"
"L01","1","add","15","0.1018958","0.02673934","0.0393342","0.009010772","0.01761548","0.0869715"
"L02","1","add","1","0.05592847","0.04165196","0.026345438","0.015239506","0.0308762","0.0694087"
"L02","1","add","2","0.060225967","0.042918504","0.028218013","0.031886768","0.01542472","0.0747171"
"L02","1","add","3","0.06311941","0.04920316","0.03031863","0.034429956","0.0234158","0.0810795"
"L02","1","add","4","0.0368708","0.039546","0.019709349","0.012983966","0.013608885","0.0542604"
"L02","1","add","5","0.045192897","0.028854045","0.013632273","0.01972217","0.01653627","0.0551781"
"L02","1","add","6","0.041589931","0.07111728","0.02907632","0.03049591","0.017333781","0.0803403"
"L02","1","add","7","0.07595185","0.07599874","0.102882","0.02930597","0.03063935","0.1220273"
"L02","1","add","8","0.05030372","0.07510228","0.055541591","0.02568201","0.0254987","0.0921241"
"L02","1","add","9","0.05986982","0.04055032","0.02444902","0.016874944","0.015653138","0.0663929"
"L02","1","add","10","0.02956453","0.028079906","0.022142479","0.03051858","0.02748114","0.0561091"
"L02","1","add","11","0.04289388","0.026181605","0.01913672","0.02535507","0.01376674","0.0588359"
"L02","1","add","12","0.0440533","0.04748964","0.019745033","0.022992929","0.02719208","0.0657208"
"L02","1","add","13","0.102633","0.0615693","0.026621988","0.02269626","0.02661714","0.0974935"
"L02","1","add","14","0.04569074","0.04696415","0.017754317","0.0227891","0.0153635","0.0638237"
"L02","1","add","15","0.04507686","0.03299378","0.02677052","0.022181256","0.014133992","0.0613139"
"L03","1","add","1","0.0884973","0.029131828","0.018234366","0.01795354","0.012583272","0.0786955"
"L03","1","add","2","0.049969315","0.0350577","0.03091628","0.012506913","0.010217355","0.0638164"
"L03","1","add","3","0.04188716","0.023720519","0.01432128","0.016513426","0.010826485","0.0534999"
"L03","1","add","4","0.05831213","0.04535046","0.03387825","0.011305199","0.01204062","0.0674701"
"L03","1","add","5","0.0625554","0.02913823","0.014572807","0.011402693","0.010529904","0.0633121"
"L03","1","add","6","0.0655286","0.01836241","0.013751639","0.014755863","0.011923147","0.059703"
"L03","1","add","7","0.0649479","0.010929077","0.010086679","0.0092246091","0.01667526","0.0581543"
"L03","1","add","8","0.06184","0.012357831","0.008394508","0.0086029471","0.010163814","0.0564035"
"L03","1","add","9","0.0547857","0.015662836","0.01779759","0.009450755","0.01358842","0.0543622"
"L03","1","add","10","0.03116238","0.02680554","0.009668148","0.01523719","0.009768801","0.0500106"
"L03","1","add","11","0.0578838","0.01263287","0.011649134","0.010001848","0.008540694","0.0544873"
"L03","1","add","12","0.02806232","0.01210546","0.014724405","0.012947828","0.014802011","0.0427009"
"L03","1","add","13","0.021391313","0.018267939","0.017965566","0.011796808","0.012499715","0.0430273"
"L03","1","add","14","0.04267309","0.028487871","0.03561412","0.011300949","0.016854596","0.0582093"
"L03","1","add","15","0.020473859","0.02367793","0.017304627","0.009440575","0.00880046","0.0403094"
"L04","1","add","1","0.0892912","0.036347831","0.03178286","0.019455989","0.011117328","0.0840792"
"L04","1","add","2","0.0995046","0.04176966","0.016059429","0.018820209","0.013453857","0.0880061"
"L04","1","add","3","0.07661841","0.03994686","0.021738101","0.02246027","0.013505932","0.0765809"
"L04","1","add","4","0.07674128","0.02816537","0.022841667","0.02373684","0.013413845","0.0725195"
"L04","1","add","5","0.05831481","0.024503328","0.014766446","0.02063265","0.01020133","0.06134"
"L04","1","add","6","0.0980659","0.032864077","0.021098474","0.014878387","0.01400286","0.0841281"
"L04","1","add","7","0.1368101","0.02163465","0.019924738","0.014200038","0.008138962","0.104174"
"L04","1","add","8","0.0688146","0.04420838","0.015416004","0.016357491","0.013461305","0.0680426"
"L04","1","add","9","0.0769178","0.02728973","0.0204353521","0.012441564","0.009925973","0.0686178"
"L04","1","add","10","0.0664084","0.034539887","0.015762933","0.0213787","0.011213834","0.0673507"
"L04","1","add","11","0.1041328","0.024496153","0.016380206","0.013163799","0.007645241","0.0844924"
"L04","1","add","12","0.0784783","0.020275002","0.010700341","0.0171972","0.009794379","0.0708444"
"L04","1","add","13","0.0839574","0.030047587","0.014399839","0.013732091","0.009202677","0.0728097"
"L04","1","add","14","0.067366","0.018527099","0.014748446","0.01942199","0.01274437","0.0626025"
"L04","1","add","15","0.0802642","0.02504154","0.010633832","0.01911672","0.012154356","0.0691717"
"L05","1","add","1","0.051074513","0.03223101","0.02327413","0.01447761","0.00990073","0.0598523"
"L05","1","add","2","0.04659177","0.04961119","0.020785","0.014213208","0.0097568565","0.0609401"
"L05","1","add","3","0.04002846","0.02987214","0.0308611","0.03800146","0.012264698","0.0604588"
"L05","1","add","4","0.03821628","0.041525037","0.036799082","0.020318845","0.013961429","0.0613791"
"L05","1","add","5","0.03331242","0.022217105","0.016804318","0.016561893","0.012067295","0.0461143"
"L05","1","add","6","0.050585457","0.04153286","0.03081946","0.014139307","0.013731255","0.063276"
"L05","1","add","7","0.05680452","0.026005124","0.018147382","0.02926261","0.01210081","0.0604246"
"L05","1","add","8","0.03502622","0.03881484","0.02124147","0.014521764","0.014392183","0.05232"
"L05","1","add","9","0.037252919","0.02568677","0.023359436","0.018027682","0.012914628","0.0503009"
"L05","1","add","10","0.07549631","0.051491565","0.03866457","0.028709495","0.02686218","0.0887368"
"L05","1","add","11","0.07219247","0.06271319","0.05870059","0.028979574","0.018382715","0.0933406"
"L05","1","add","12","0.05592804","0.04074078","0.01975075","0.02166723","0.009687803","0.0622222"
"L05","1","add","13","0.07286243","0.03461578","0.03543563","0.015001117","0.01725639","0.0740409"
"L05","1","add","14","0.0520046","0.04802826","0.03207556","0.013303788","0.011494292","0.068101"
"L05","1","add","15","0.03544457","0.0353279","0.0257355","0.014237857","0.017503404","0.0531403"
"L06","1","add","1","0.024216759","0.02667534","0.013128568","0.01566966","0.007281343","0.0510323"
"L06","1","add","2","0.03463157","0.014829916","0.02158711","0.010646275","0.01486259","0.0500535"
"L06","1","add","3","0.03870005","0.02890958","0.02635537","0.008339548","0.010199811","0.0549053"
"L06","1","add","4","0.04088557","0.01922221","0.01286581","0.01714209","0.011594344","0.0527555"
"L06","1","add","5","0.04811315","0.021785566","0.015744707","0.011856615","0.011800342","0.0602415"
"L06","1","add","6","0.017507887","0.02716696","0.02724452","0.01932294","0.01362233","0.0508224"
"L06","1","add","7","0.03511282","0.02885777","0.017154167","0.0092190043","0.01649332","0.0510874"
"L06","1","add","8","0.0502071","0.0176611482","0.015254295","0.010109012","0.009254295","0.0587881"
"L06","1","add","9","0.02658437","0.019160022","0.02070119","0.009477111","0.009222138","0.0458637"
"L06","1","add","10","0.03457116","0.014453306","0.01841562","0.010105683","0.007442965","0.0504225"
"L06","1","add","11","0.03878106","0.0128325","0.019974423","0.008233869","0.008458501","0.0490573"
"L06","1","add","12","0.02956136","0.02233143","0.02209064","0.011253129","0.006988348","0.049857"
"L06","1","add","13","0.0468904","0.017116376","0.013160935","0.008622777","0.007693882","0.0561367"
"L06","1","add","14","0.05005875","0.016801912","0.02049747","0.012587252","0.012452071","0.0569682"
"L06","1","add","15","0.04025739","0.01609664","0.02671207","0.007965763","0.007887154","0.0541516"
"L07","1","add","1","0.07576264","0.04504551","0.05598075","0.02271952","0.017974905","0.0899028"
"L07","1","add","2","0.09753756","0.070239834","0.027851632","0.023261834","0.0137873366","0.0990334"
"L07","1","add","3","0.07372459","0.04243108","0.03507334","0.01757221","0.02587204","0.0810451"
"L07","1","add","4","0.05634597","0.04395189","0.027433609","0.03151183","0.016042105","0.0733"
"L07","1","add","5","0.06120479","0.07249242","0.050529113","0.020587208","0.022060999","0.0907344"
"L07","1","add","6","0.06459105","0.05427497","0.0720347","0.02746965","0.0267606","0.0946637"
"L07","1","add","7","0.1105566","0.046053914","0.026088376","0.018273558","0.02826267","0.0988755"
"L07","1","add","8","0.049772472","0.06731276","0.027751008","0.0262849","0.015953349","0.0798524"
"L07","1","add","9","0.06790871","0.048463898","0.04274051","0.01901198","0.02582371","0.0837044"
"L07","1","add","10","0.056031246","0.06112181","0.05091119","0.02902869","0.02523418","0.0879237"
